Compound ID;InChIKey;SMILES;logS;logP;MW
C2564;DULRAWOLASLZFF-UHFFFAOYSA-N;CN(C(CC12CC3CC(C2)CC(C1)C3)C)Cc1ccccc1.Cl;-5,718;5,92;333,94
C2565;OLNLBYCEMYGFIP-UHFFFAOYSA-N;CN(CCCC12CC3CC(C1)CC(C2c1ccccc1)C3)C.Cl;-5,718;5,74;333,94
C2566;IKYIXZSIKOYSLD-UHFFFAOYSA-N;OC(=O)C(c1ccccc1)Cc1cc(I)c(c(c1)I)O;-5,717;4,01;494,06
C2567;KRTPZDITOONUEW-UHFFFAOYSA-N;CCC(C(=O)OCC(Br)(Br)Br)CC;-5,716;3,8;380,9
C2568;REXWOFSLUVLBDP-QNGOZBTKSA-N;CCC(=O)N1C2CCC1CN(C2)C/C(=C/c1ccccc1)/c1ccccc1;-5,716;4,19;360,49
C2569;QNXUUBBKHBYRFW-QWAPGEGQSA-N;ClCCOC1=CC2=C(C=O)C[C@@H]3[C@]([C@]2(CC1)C)(F)[C@@H](O)C[C@]1([C@H]3C[C@@H]2[C@]1(OC(O2)(C)C)C(=O)COC(=O)C)C;-5,715;3,96;569,06
C2570;YWYQTGBBEZQBGO-OQOYYRQQSA-N;O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@H](O)C)C)C;-5,715;4,39;320,51
C2571;JJYCENBZIMIWTM-HYFMXHDLSA-N;CO[C@@H]1[C@@H](OC(=O)N)[C@@H](O)[C@H](OC1(C)C)Oc1ccc2c(c1C)oc(=O)c(c2O)NC(=O)c1ccc(c(c1)CCC(C)C)O;-5,713;4,48;614,64
C2572;YILXLSNWYXRHLU-UHFFFAOYSA-N;Ic1ccc(nc1)SCCCCCCCN1CCSC1.Cl;-5,708;5,48;458,85
C2573;ULGZDMOVFRHVEP-RWJQBGPGSA-N;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@@H]([C@](C2)(C)OC)O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C[C@H](C(=O)[C@@H]([C@H]([C@]1(C)O)O)C)C)(C)O;-5,708;1,79;733,93
C2574;OHXVNPLQCLJGEX-UHFFFAOYSA-N;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCCCCCCCCCC;-5,702;20,85;817,49
C2575;ODMDVXBFLZLMOV-UHFFFAOYSA-N;O=CC(c1ccc2c(c1)ccc1c2cccc1)C;-5,701;4,3;234,29
C2576;VYVKHNNGDFVQGA-UHFFFAOYSA-N;COc1ccc(cc1)CC(N(CCCCOC(=O)c1ccc(c(c1)OC)OC)CC)C;-5,694;4,6;429,55
C2577;YDUVNCVFHOFCBV-UHFFFAOYSA-N;O=C(N1c2ccccc2CCc2c1cccc2)C[NH2+]C(C)(C)C.[Cl-];-5,693;-0,12;344,88
C2578;APUSEOXZOIWVBF-RZWQWLLSSA-N;COc1ccc(cc1)C(=O)CN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2.Cl;-5,692;5,08;427,96
C2579;IABNRFKGIGJEFF-UHFFFAOYSA-N;CCC1(CC)OC(c2c1cccc2)(CCCN(C)C)c1ccccc1.Cl;-5,692;6,12;373,96
C2580;MAFMQEKGGFWBAB-UHFFFAOYSA-N;COCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)c1ccc(cc1)NCCCC;-5,691;2,91;603,74
C2581;DCKXNKRUGUYEPS-UHFFFAOYSA-N;ClCCN(c1ccc(cc1)OC(=O)c1ccccc1)CCCl;-5,69;4,19;338,23
C2582;XHSHZRTUPHMFMW-UHFFFAOYSA-N;CN(CCCC1(CC(c2c1cccc2)(C)C)c1ccccc1)C.Cl;-5,69;5,8;343,93
C160;CHNUNORXWHYHNE-UHFFFAOYSA-N;CC(Oc1cc(c(cc1Cl)Cl)n1nc(oc1=O)C(C)(C)C)C;-5,69;4,22;345,22
C2583;YVBGGZGCBWNVDX-UHFFFAOYSA-N;CN(CCCC1c2ccccc2C=Cc2c1cccc2)C;-5,685;4,64;277,4
C2584;OJTXPGCWXBTARX-UHFFFAOYSA-N;CCN(CCCn1c(=O)c2ccccc2[nH]c2c1cccc2)CC;-5,684;3,78;323,43
C2585;PQYGSSYFJIJDFK-UHFFFAOYSA-N;CCCCCCCC(=O)CCCCCCC;-5,684;5,28;226,4
C2586;CTVUQTJFCOUSCI-UHFFFAOYSA-N;CCCCN1CCC(CC1)(OC(=O)Cc1ccccc1)c1ccccc1.Cl;-5,68;5,3;387,94
C2587;FZMYJEWPAHFZNM-UHFFFAOYSA-N;CCN(CCOC(=O)C1c2ccccc2Cc2c1cccc2)CC.Cl;-5,68;4,41;359,89
C161;ZSDSQXJSNMTJDA-UHFFFAOYSA-N;CCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CCC;-5,679;5,19;335,28
C162;QIQXTHQIDYTFRH-UHFFFAOYSA-N;CCCCCCCCCCCCCCCCCC(=O)O;-5,679;6,33;284,48
C2588;YDLQKLWVKKFPII-UHFFFAOYSA-N;Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)n1c(=S)[nH]c2c1cccc2;-5,679;5,08;397,51
C2589;SQSNGPIVSCOKRR-UHFFFAOYSA-N;CNCCCN1c2cc(Cl)ccc2Sc2c1ccc(c2)O;-5,678;4,71;320,84
C2590;QLPNZYZWDNTQFD-UHFFFAOYSA-N;OC(=O)C(c1ccc2c(c1)CCc1c2cccc1)C;-5,677;3,64;252,31
C2591;FPPCQURAUSZVBZ-UHFFFAOYSA-N;CCCCCCCOc1ccccc1NC(=O)OCCN1CCCCC1.Cl;-5,676;5,88;398,97
C2592;XAXZRLRPMYYALI-UHFFFAOYSA-N;Clc1ccc2c(c1)c(C)cc(n2)SCCCCCN1CSCC1.Cl.Cl;-5,672;7,01;439,89
C2593;JYNMKSDVPCAZCM-UHFFFAOYSA-N;CCCCCCCCSCCCCCCN1CSCC1.Cl;-5,672;6,39;354,06
C163;SBPBAQFWLVIOKP-UHFFFAOYSA-N;CCOP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OCC;-5,67;5,37;350,59
C164;UOAMTSKGCBMZTC-UHFFFAOYSA-N;OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl;-5,67;5,6;370,49
C2594;KQNZDYYTLMIZCT-KQPMLPITSA-N;O[C@@H]1C[C@@H]2[C@@H](C1)/C=C/CCC[C@@H](OC(=O)/C=C/[C@H]2O)C;-5,669;1,96;280,36
C2595;VGQBGHMODQMJEJ-UHFFFAOYSA-N;COc1cc2c(cc1OC)CCN(C2CCc1cccc(c1Cl)Cl)C;-5,669;5,11;380,31
C2596;LXGKFCALTYIGBW-UHFFFAOYSA-N;COc1cc2c(cc1OC)CCN(C2CCc1c(Cl)cccc1Cl)C;-5,669;5,11;380,31
C2597;HRNKLYSRKFRIQO-UHFFFAOYSA-N;CCCCOc1ccc(cc1)OCC(=O)N(c1cccc(c1)OCC)CCN(C)C.Cl;-5,667;5,04;451
C2598;HDGAKKHUALYJSA-UHFFFAOYSA-N;CCC(C(c1ccccc1)(c1ccccc1)CC([NH+](C)C)C)Cl.[Cl-];-5,665;0,92;366,37
C2599;CERUVRSAHAFOLZ-LAWPZHMJSA-N;O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)CCC1C2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O;-5,661;3,37;634,8
C2600;VVPAATLHWUDQMI-MZIRSVLISA-N;O[C@H]([C@H](C(=O)O)O)C(=O)O.COc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CC=C(C)C;-5,66;2,54;475,57
C165;CHNXZKVNWQUJIB-VPXZLSIOSA-N;C#C[C@@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C;-5,659;3,88;312,45
C2601;YTCSKUDULFDUDD-UHFFFAOYSA-N;NCCCN1c2ccc(cc2Sc2c1cc(Cl)cc2)O;-5,659;4,76;306,81
C2602;LXRLABSDZUKVGP-UHFFFAOYSA-N;C[NH2+]CCCC1c2ccccc2CCc2c1cccc2.[Cl-];-5,656;-0,11;301,85
C2603;DTTVBSRGHJKBOQ-UHFFFAOYSA-N;CCN(CC(=O)N1C(C)(C)CC(=CC1(C)C)c1ccccc1)CC;-5,656;4,14;328,49
C2604;ADLUXTSNZSZRQU-UHFFFAOYSA-N;OC(=O)C(=O)O.CN(CCCC1(OC(c2c1cccc2)(C)C)C1CCCCC1)C;-5,656;4,22;405,53
C2605;CDOZDBSBBXSXLB-UHFFFAOYSA-N;CCN(C(CN1c2ccccc2Sc2c1cccc2)C)CC;-5,654;5,08;312,47
C2606;LMYNSXURIAOYIR-UHFFFAOYSA-N;c1ccc2c(c1)CCC1N2CCN(C1)CCc1cccc2c1cccc2.Cl;-5,652;5,32;378,94
C2607;XTSSXTWGEJTWBM-FQEVSTJZSA-N;COc1ccc2c(cc1=O)[C@H](CCc1c2c(OC)c(c(c1)OC)OC)NC(=O)c1ccccc1;-5,651;4,56;461,51
C2608;VQNAFOJXHZEXDE-UHFFFAOYSA-N;CCCC[NH+]1CCC(CC1)OC(=O)C(c1ccccc1)c1ccccc1.[Cl-];-5,65;1,78;387,94
C166;CEOCDNVZRAIOQZ-UHFFFAOYSA-N;Clc1cc(Cl)c(c(c1Cl)Cl)Cl;-5,65;4,95;250,34
C2609;XXLZPUYGHQWHRN-RPBOFIJWSA-N;CCC1=C(C[C@H]2NCCc3c2cc(OC)c(c3)OC)C[C@@H]2N(C1)CCc1c2cc(c(c1)OC)OC;-5,645;5,27;478,62
C2610;TXNPKAZVKAHXGK-UHFFFAOYSA-N;OC(=O)C(c1ccc2c(c1)nc(o2)c1ccc(cc1)C(C)(C)C)C;-5,642;4,98;323,39
C2611;HVFCLQQFFYUROM-XJQFHKDFSA-N;COc1ccc(cc1[N+](=O)[O-])C(=O)CN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2.Cl;-5,641;5,51;472,96
C167;XCJXQCUJXDUNDN-OZUNKVAOSA-N;ClC1=C(Cl)[C@]2(C([C@]1(Cl)[C@H]1[C@@H]2CC=C1)(Cl)Cl)Cl;-5,639;5,02;338,87
C168;CRQQGFGUEAVUIL-UHFFFAOYSA-N;N#Cc1c(Cl)c(C#N)c(c(c1Cl)Cl)Cl;-5,639;4,04;265,91
C169;IRIAEXORFWYRCZ-UHFFFAOYSA-N;CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1;-5,639;4;312,36
C2612;ZCUZNOKYZBDPMI-LIXABZRUSA-N;COc1ccc(c(c1)C)CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2.Cl;-5,638;5,75;428,01
C2613;VLTOCQFUFACJGC-UHFFFAOYSA-N;CNCCC=C1c2ccccc2C(c2c1cccc2)(C)C.Cl;-5,638;5,56;313,86
C2614;UOXWPQGDEPCZDZ-BNXVUDNTSA-N;O[C@H]([C@H](C(=O)O)O)C(=O)O.COc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CCc1ccco1;-5,635;2,4;501,57
C2615;FGXWKSZFVQUSTL-UHFFFAOYSA-N;Clc1ccc2c(c1)[nH]c(=O)n2C1CCN(CC1)CCCn1c(=O)[nH]c2c1cccc2;-5,635;3,29;425,91
C2616;RUEYJJXJQYFCCU-UHFFFAOYSA-N;N#CC(c1cccc2c1cccc2)(CC[NH+](CC)C)CC=C(C)C.[Cl-];-5,626;0,89;356,93
C2617;QIGRLMYLFKLTOE-UHFFFAOYSA-N;N#CC(Cc1cccc2c1cccc2)(CC[NH+](C)C)CC=C(C)C.[Cl-];-5,626;0,79;356,93
C2618;JHKAMWMWNMZLLS-UHFFFAOYSA-N;CC(CN(c1cc(ccc1C)C(=O)O)CC(Cl)C)Cl;-5,624;3,75;304,21
C2619;SDJZXAABVIWCNW-BNXVUDNTSA-N;O[C@H]([C@H](C(=O)O)O)C(=O)O.CCC(CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2)CC;-5,623;3,09;491,62
C2620;AWNQCMDYKBCHAH-UHFFFAOYSA-L;C[N+]1(CCCCCCCCCC[N+]2(C)CCOCC2)CCOCC1.[I-].[I-];-5,623;-3,01;596,37
C2621;ZAGQHNDTRBHZTO-UHFFFAOYSA-N;CCCC(COC(=O)N(CC)CC)(COC(=O)N(CC)CC)C;-5,622;3,75;330,46
C2622;SNUBBWAURMSPJZ-UHFFFAOYSA-N;CCN(C(=O)OCC(COC(=O)N(CC)CC)(CC)CC)CC;-5,622;3,75;330,46
C2623;GXGJIOMUZAGVEH-UHFFFAOYSA-N;CCc1ccc(c2c(c1)c(C)cc2)C;-5,619;3,97;184,28
C2624;ZUJCXSRZZWIJLY-UHFFFAOYSA-N;CCCCC1=CC(N(C(C1)(C)C)C(=O)CN1CCCC1)(C)C;-5,619;3,86;306,49
C2625;WBNPMYJLGASBPI-UHFFFAOYSA-N;OC(=O)CCN1c2ccc(cc2Sc2c1cc(Cl)cc2)O;-5,618;4,19;321,78
C2626;GFTHYQRJEOORHK-UHFFFAOYSA-N;CN(CC(CC1(O)c2ccccc2CCc2c1cccc2)C)C;-5,616;3,61;309,45
C2627;RYQOGSFEJBUZBX-UHFFFAOYSA-N;CN(CCCN1c2ccccc2C(c2c1cccc2)(C)C)C;-5,611;4,48;294,43
C170;WXURHACBFYSXBI-NRIXXJGXSA-N;OCC(=O)[C@@]1(O)[C@H](C)C[C@@H]2[C@]1(C)C[C@@H](O)[C@]1([C@H]2C[C@@H](C2=CC(=O)C=C[C@]12C)F)F;-5,61;1,84;410,45
C2628;OMHUKXIIJPBUIP-FJUODKGNSA-N;CN(CC/C=C/1\c2ccccc2Sc2c1cc(F)cc2)C.Br;-5,603;5,63;380,32
C2629;OMHUKXIIJPBUIP-KIUKIJHYSA-N;CN(CC/C=C\1/c2ccccc2Sc2c1cc(F)cc2)C.Br;-5,603;5,63;380,32
C2630;XZZXIYZZBJDEEP-UHFFFAOYSA-N;CN(CCCN1c2ccccc2CCc2c1cccc2)C.Cl;-5,602;4,74;316,87
C2631;URSRSKSNFPUKGH-UHFFFAOYSA-N;CN(CCOC(c1ccc(cc1)Br)(c1ccccc1)C)C;-5,602;4,29;348,28
C2632;POPFMWWJOGLOIF-XWCQMRHXSA-N;OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@H]2[C@H]1C[C@@H](C1=CC(=O)CC[C@]21C)F)(C)C;-5,601;2,5;436,51
C2633;SIEYZYONZYIIJH-AGSMNRHJSA-N;CC[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](c1ccnc2c1cc(OCCC(C)C)cc2)O.Cl.Cl;-5,601;6,36;455,46
C2634;SUQGLJRNDJRARS-UHFFFAOYSA-N;O=C(c1ccccc1)Oc1cccc(c1)OC(=O)c1ccccc1;-5,6;4,13;318,32
C171;YWDUZLFWHVQCHY-UHFFFAOYSA-N;Brc1cc(Br)cc(c1)Br;-5,599;3,97;314,8
C2635;FWXCTXLSDFLQJC-UHFFFAOYSA-N;CCCCCCCOc1cccc(c1)NC(=O)OCC[NH+]1CCCCC1.[Cl-];-5,599;2,3;398,97
C2636;PWQRTIDMAHIZSV-UHFFFAOYSA-N;CC(CCC=C(C)C)CCN1CCN(CC1)CC(=O)NN=Cc1ccc(o1)[N+](=O)[O-];-5,593;3,82;419,52
C2637;ZDGVLDKCQRCCKI-ICDZXHCJSA-N;CSc1ccc(cc1)CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2;-5,59;5,35;393,59
C2638;GEHQTKKHEHGIJB-UHFFFAOYSA-N;COc1c(O)ccc2c1N(CCCN(C)C)c1c(S2)ccc(c1)Cl.Cl;-5,59;5,48;401,35
C2639;NZBSAAMEZYOGBA-UHFFFAOYSA-N;O=c1c2cccc3c2c(c2n1c1ccccc1n2)ccc3;-5,59;3,59;270,29
C172;WCMMILVIRZAPLE-UHFFFAOYSA-M;O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1;-5,59;5,93;385,16
C2640;WQDGKJKVSWEERW-UHFFFAOYSA-N;Brc1ccc(cc1)C(c1ccccc1)OCC[NH2+]N1CCCC1.[Cl-];-5,589;0,07;411,76
C2641;VXFJYXUZANRPDJ-MQBSTWLZSA-N;CCOC(=O)[C@@H](N[C@H](C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O)C)CCc1ccccc1;-5,588;3,1;430,54
C2642;RRGUKTPIGVIEKM-UHFFFAOYSA-N;O=C1CCc2c(N1)ccc(c2)OCCCCc1nnnn1C1CCCCC1;-5,586;3,6;369,46
C2643;NJVOZLGKTAPUTQ-UHFFFAOYSA-M;Cl[Sn](c1ccccc1)(c1ccccc1)c1ccccc1;-5,585;2,89;385,47
C2644;BJFPXELCDQCHFX-UHFFFAOYSA-N;CCN(CCC(c1cccc2c1cccc2)(C(=O)N)CC=C(C)C)C;-5,585;4,96;338,49
C2645;WWMPOSZANYFKNP-XJXJHPFJSA-M;CCC[N+]12CCC(C(C1)C=C)C[C@@H]2[C@H](c1ccnc2c1cc(OC)cc2)O.[Cl-];-5,584;1,06;402,96
C2646;WBGKWQHBNHJJPZ-LECWWXJVSA-N;OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@H]2[C@H]1CCC1=CC(=O)C=C[C@]21C)(C)C;-5,582;2,33;416,51
C2647;XJGBDJOMWKAZJS-UHFFFAOYSA-N;OC(=O)C(Oc1ccc(cc1)C1CCCc2c1cccc2)(C)C;-5,579;4,4;310,39
C2648;FAYONKYSJFJACM-GEEYTBSJSA-M;CC[N+](Cc1ccccc1)(CCOc1ccc(cc1)/C=C/c1ccccc1)CC.[Br-];-5,578;3,3;466,45
C2649;NJNXVQXOUUIOBZ-UHFFFAOYSA-N;OCC(c1ccc2c(c1)CCc1c2cccc1)C;-5,578;3,55;238,32
C2650;ILKJAFIWWBXGDU-MOGDOJJUSA-N;CC(=O)OCC(=O)[C@@]12OC3(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1CCC1=CC(=O)C=C[C@]21C)F)CCCC3;-5,577;3,52;502,57
C2651;QQWVCTZTGVJUCK-UHFFFAOYSA-N;CCCCCCCOc1ccc(cc1)C(=O)CCN1CCCCC1.Cl;-5,572;5,83;367,95
C2652;SXHWIUYWGJFLKB-UHFFFAOYSA-N;C#CC(c1ccccc1)(c1ccc(cc1)Cl)OC(=O)N;-5,571;4,01;285,73
C2653;QMJPDCOTBLUFHJ-UHFFFAOYSA-N;Oc1ccccc1C(=O)N(C1CCCCC1)C1CCCCC1;-5,57;4,5;301,42
C2654;YNVGQYHLRCDXFQ-XGXHKTLJSA-N;C#C[C@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CCCC[C@H]12;-5,568;4,31;284,44
C2655;OHBLHFXKSYTWQO-UHFFFAOYSA-N;CN1CCN(CC1)CCC=C1c2ccccc2Sc2c1cccc2.Cl.Cl;-5,566;5,7;409,42
C2656;WDRYRZXSPDWGEB-UHFFFAOYSA-N;Clc1ccc(c(c1)Cl)Cn1nc(c2c1cccc2)C(=O)O;-5,565;4,09;321,16
C2657;UMSGKTJDUHERQW-UHFFFAOYSA-N;Brc1cc2c(s1)n1c(CN=C2c2ccccc2Cl)nnc1C;-5,562;3,84;393,69
C2658;RTNXNRZZXYBWJZ-UHFFFAOYSA-N;CC(C(c1cccc2c1cccc2)(C(=O)N)CCN1CCCCC1)C;-5,562;4,73;338,49
C2659;DIFUVRDFPAVFKW-GOOHIXEASA-N;[O-][N+](=O)O.CCC(=O)N([C@H]1CCN(C[C@H]1C)CCc1ccccc1)c1ccccc1.CCCO;-5,561;4,88;473,61
C2660;OGWKCGZFUXNPDA-XQKSVPLYSA-N;O=CN1c2cc(OC)c(cc2[C@]23[C@@H]1[C@@](O)(C(=O)OC)[C@H](OC(=O)C)[C@]1([C@@H]3N(CC2)CC=C1)CC)[C@]1(C[C@@H]2CN(CCc3c1[nH]c1c3cccc1)C[C@](C2)(O)CC)C(=O)OC;-5,56;4,09;824,96
C173;JHBKHLUZVFWLAG-UHFFFAOYSA-N;Clc1cc(Cl)c(cc1Cl)Cl;-5,559;4,3;215,89
C2661;PYSOHOOUXFWCFF-UHFFFAOYSA-N;COc1ccc2c(c1CN1CCCCC1)oc1c(c2=O)cccc1;-5,558;3,88;323,39
C2662;XUNAJGRWRKIEPV-ISLYRVAYSA-N;Clc1ccc(cc1)CN(/N=N/c1ccc(cc1)C(=O)O)C;-5,557;4,17;303,74
C2663;ZCBJDQBSLZREAA-UHFFFAOYSA-N;CC(=O)Oc1ccc(cc1)C1(Oc2ccccc2NC1=O)c1ccc(cc1)OC(=O)C;-5,555;3,95;417,41
C2664;WYRBITQXPQGTBL-UHFFFAOYSA-N;O=C(c1ccccc1)CC(c1ccccc1)c1ccccc1;-5,551;5,09;286,37
C2665;MKLLVYALIHGMKY-UHFFFAOYSA-N;O=C1CC2(C(=O)N1C)c1ccccc1CCc1c2cccc1;-5,549;2,4;291,34
C2666;SMPOXMYVWIXCMT-UHFFFAOYSA-N;COc1c(O)ccc2c1N(CCCN(C)C)c1c(S2)ccc(c1)Cl;-5,549;4,67;364,89
C2667;JXZZEXZZKAWDSP-UHFFFAOYSA-N;O=C(c1ccccc1)NC1CCN(CC1)CCc1c[nH]c2c1cccc2;-5,548;3,93;347,45
C2668;XURNBUIOYGQEST-UHFFFAOYSA-N;O=C1NC(=O)C2(N1)c1ccccc1CCCc1c2cccc1;-5,546;2,92;292,33
C2669;GXEUNRBWEAIPCN-UHFFFAOYSA-N;OC(=O)C(c1ccc(c(c1)Cl)C1CCCCC1)Cl;-5,542;4,75;287,18
C2670;QESYWDIVVXFNFE-AQFVONAPSA-N;Oc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CCCc1ccccc1.Br;-5,542;5,98;442,43
C2671;WYQIVZKSGGKUAX-UHFFFAOYSA-N;OC(=O)c1ccc2c(c1)c1ccccc1cc2;-5,541;3,69;222,24
C2672;CIZZXSRPHLRRDJ-OSMRDGEFSA-N;C=CCO/[NH+]=C(/c1nccc2c1cc(OC)c(c2)OC)\c1ccc(c(c1)OC)OC.[Cl-];-5,541;-0,69;444,91
C174;NKPPORKKCMYYTO-DHZHZOJOSA-N;COc1ccc2c(c1)c(CC(=O)O)c(n2C(=O)/C=C/c1ccccc1)C;-5,54;3,94;349,38
C175;RIZMRRKBZQXFOY-UHFFFAOYSA-N;CCOP(=S)(OCC)SCSP(=S)(OCC)OCC;-5,54;6,31;384,48
C2673;HYTGGNIMZXFORS-MGYKWWNKSA-N;CC[C@H](C(=O)O[C@H]1[C@H](O)[C@H]2[C@H]([C@H]3[C@]1(O)[C@@H]1[C@H](OC(=O)C)[C@H](OC(=O)C)[C@H]4[C@]5([C@]1(C3)O[C@]4(O)[C@H](CC5)OC(=O)[C@](CC)(O)C)C)CN1[C@H]([C@@]2(C)O)CC[C@@H](C1)C)C;-5,538;1,55;793,94
C2674;GWWLWDURRGNSRS-UHFFFAOYSA-N;CN(CCC=C1c2ccccc2C(c2c1cccc2)(C)C)C;-5,537;4,71;291,43
C2675;IJTPQQVCKPZIMV-UHFFFAOYSA-N;OC(=O)CCC(=O)c1ccc(c(c1)Cl)C1CCCCC1;-5,537;4,44;294,77
C2676;IXBBCDAOBKUSMR-UHFFFAOYSA-N;CCC([NH2+]CCOC(=O)C1c2ccccc2c2c1cccc2)C.[Cl-];-5,534;-0,29;345,86
C2677;GCUAMEPHMLSQKS-TWNLEINFSA-N;COc1ccc2c(c1)/C(=C/CCN(C)C)/c1c(S2)cccc1.Cl;-5,532;5,35;347,9
C2678;GCUAMEPHMLSQKS-ZTXYIFKNSA-N;COc1ccc2c(c1)/C(=C\CCN(C)C)/c1c(S2)cccc1.Cl;-5,532;5,35;347,9
C2679;NZHGWWWHIYHZNX-CSKARUKUSA-N;COc1cc(/C=C/C(=O)Nc2ccccc2C(=O)O)ccc1OC;-5,531;3,13;327,33
C2680;KSODCNQBMBVLAJ-FERBBOLQSA-M;ClCCN(c1cc(ccc1C)C(=O)N[C@H](C(=O)[O-])Cc1ccc(cc1)O)CCCl.[Na+];-5,53;2,47;461,31
C176;SMDHCQAYESWHAE-UHFFFAOYSA-N;CCCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CC;-5,53;5,19;335,28
C2681;KAIFALFPMBMXPL-CHHCPSLASA-N;CN(C/C=C\1/c2ccccc2Sc2c1cc(Cl)cc2)C.Cl;-5,524;5,6;338,3
C2682;KAIFALFPMBMXPL-KJEVSKRMSA-N;CN(C/C=C/1\c2ccccc2Sc2c1cc(Cl)cc2)C.Cl;-5,524;5,6;338,3
C2683;YEZNLOUZAIOMLT-UHFFFAOYSA-N;OC(=O)c1ccccc1Nc1cccc(c1C)Cl;-5,524;4,16;261,7
C2684;JNUQEHHAXSHUMD-WVLIHFOGSA-M;CCCC(=O)Nc1c(I)cc(c(c1I)/C=C(/C(=O)[O-])\CC)I.[Na+];-5,523;3,86;660,99
C2685;IQHTWFLGOPQPHD-XJXJHPFJSA-M;C=CC1C[N+]2(CCC1C[C@@H]2[C@H](c1ccnc2c1cc(OC)cc2)O)C(C)C.[Cl-];-5,518;1,06;402,96
C2686;PWNAWGHHNQQCAK-UHFFFAOYSA-N;O=C(N1c2ccccc2Sc2c1cccc2)CCNC(C)(C)C.Cl;-5,518;5,85;362,92
C2687;DQPNQXUUCWOWCK-UHFFFAOYSA-N;CCOC(C(=O)N(CCN(CCc1ccccc1)C)C)(c1ccccc1)c1ccccc1.Cl;-5,517;5,4;467,04
C2688;RHILVRBEZGPKBY-UHFFFAOYSA-N;OC(=O)C(c1ccc2c(c1)nc(o2)c1ccc(cc1)I)C;-5,515;4,29;393,18
C2689;UCLGZUJDUNXHRN-UHFFFAOYSA-N;C1CCC2(CN1)c1ccccc1CCc1c2cccc1.Cl;-5,514;4,59;299,84
C2690;DZVPGIORVGSQMC-UHFFFAOYSA-N;COc1nc(c(c(c1Cl)OC)Cl)C(Cl)(Cl)Cl;-5,512;4,23;325,4
C2691;WMIAQXWVZFAYQL-UHFFFAOYSA-N;O=C1NC(=O)C(N1S(=O)(=O)c1ccccc1)(c1ccccc1)c1ccccc1;-5,51;4,22;392,43
C2692;RFCPBHVDIXXSGT-UHFFFAOYSA-N;OCCN1CC2CCC(C1)N2CCCN1c2ccccc2Sc2c1cccc2;-5,51;3,76;395,56
C2693;RGIKAFNNDOGWCB-UHFFFAOYSA-N;CCOC(=O)Cc1ccc2c(c1)nc(s2)c1ccc(cc1)OC;-5,51;4,08;327,4
C2694;HHJOQUFREITNNC-UHFFFAOYSA-N;COc1ccc(cc1)CN1CCc2c(C1)cccc2NC(=O)c1cc(OC)c(c(c1)OC)OC.Cl;-5,51;5,34;499
C2695;FJPQFRXOQNVROM-UUOKLVDSSA-N;[O-]C(=O)/C=C\C(=O)O.C[NH+](CCOC1C=CC2=C(Cc3c1cccc3)CCC=C2)C;-5,51;1,02;411,49
